"","DistSyn","Syn","CorrectedAverage"
"1",245.2,250,-14.8230260519552
"5",217.6,490,-12.6163408715302
"8",194.9,540,-14.1186735815449
"11",170,440,-14.5952481815655
"14",143.7,400,-13.2365602862242
"18",124.2,480,-13.5997854836778
"21",94.1,1160,-16.0989582414646
"24",75.9,1620,-15.1270854252279
"30",37.4,2090,-13.5533523125876
"36",0,2080,-13.4479228852468
"12",245.2,550,-15.262094209929
"51",217.6,580,-14.2970577532887
"81",194.9,510,-16.0032706154323
"111",170,540,-15.6530241047129
"141",143.7,540,-15.24952136518
"181",124.2,750,-13.958495591814
"211",94.1,1610,-13.0054693290392
"241",75.9,2250,-15.4872976186338
"301",37.4,2910,-15.176215817522
"361",0,2750,-15.1472442157097
"13",245.2,430,-13.7637148906765
"52",217.6,690,-12.1481021236552
"82",194.9,490,-13.5571521796529
"112",170,560,-12.5240855874605
"142",143.7,540,-10.9534396002093
"182",124.2,710,-12.0359171545888
"212",94.1,1280,-14.0240579895303
"242",75.9,1910,-14.232436030187
"302",37.4,2550,-12.1043403107865
"15",245.2,680,-16.5781813134943
"53",217.6,680,-16.6537283008607
"83",194.9,710,-15.7525784562394
"113",170,650,-16.0556336316825
"143",143.7,610,-12.5134128149163
"183",124.2,840,-13.2157344506957
"213",94.1,1510,-15.4999941249359
"243",75.9,2470,-16.0184743121757
"303",37.4,3600,-17.1768804100085
"362",0,3740,-16.4574171111531
