"","X","DateTime","Inj","V1","V2","V3","V4","V1_adjusted","V2_adjusted","V3_adjusted","V4_adjusted","Flux_1","Flux_2","ppt_mm"
"46",46,2019-07-10 15:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"47",47,2019-07-10 15:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"48",48,2019-07-10 15:30:00,"No",1345,1345,917.5,610.1841821,1989.465,1989.595,1342.0725,610.1841821,0.79,NA,0
"49",49,2019-07-10 15:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"50",50,2019-07-10 15:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"51",51,2019-07-10 15:45:00,"No",1330,1350,952.5,624.9159951,1966.68,1997.22,1395.3775,624.9159951,0.8,NA,0
"52",52,2019-07-10 15:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"53",53,2019-07-10 15:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"54",54,2019-07-10 16:00:00,"No",1350,1335,972.5,624.9159951,1997.06,1974.345,1425.8375,624.9159951,0.75,NA,0
"55",55,2019-07-10 16:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"56",56,2019-07-10 16:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"57",57,2019-07-10 16:15:00,"No",1340,1345,962.5,632.2819016,1981.87,1989.595,1410.6075,632.2819016,0.8,NA,0
"58",58,2019-07-10 16:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"59",59,2019-07-10 16:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"60",60,2019-07-10 16:30:00,"No",1360,1345,947.5,617.5500886,2012.25,1989.595,1387.7625,617.5500886,0.8,NA,0
"61",61,2019-07-10 16:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"62",62,2019-07-10 16:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"63",63,2019-07-10 16:45:00,"No",1360,1375,972.5,632.2819016,2012.25,2035.345,1425.8375,632.2819016,0.86,NA,0
"64",64,2019-07-10 16:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"65",65,2019-07-10 16:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"66",66,2019-07-10 17:00:00,"No",1405,1380,982.5,632.2819016,2080.605,2042.97,1441.0675,632.2819016,0.91,NA,0
"67",67,2019-07-10 17:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"68",68,2019-07-10 17:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"69",69,2019-07-10 17:15:00,"No",1400,1400,997.5,639.6478081,2073.01,2073.47,1463.9125,639.6478081,0.9,NA,0
"70",70,2019-07-10 17:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"71",71,2019-07-10 17:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"72",72,2019-07-10 17:30:00,"No",1435,1415,1027.5,617.5500886,2126.175,2096.345,1509.6025,617.5500886,0.92,NA,0
"73",73,2019-07-10 17:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"74",74,2019-07-10 17:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"75",75,2019-07-10 17:45:00,"No",1435,1435,1047.5,647.0137146,2126.175,2126.845,1540.0625,647.0137146,0.91,NA,0
"76",76,2019-07-10 17:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"77",77,2019-07-10 17:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"78",78,2019-07-10 18:00:00,"No",1485,1475,1042.5,661.7455276,2202.125,2187.845,1532.4475,661.7455276,0.97,NA,0
"79",79,2019-07-10 18:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"80",80,2019-07-10 18:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"81",81,2019-07-10 18:15:00,"No",1535,1520,1042.5,654.3796211,2278.075,2256.47,1532.4475,654.3796211,1.01,NA,0
"82",82,2019-07-10 18:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"83",83,2019-07-10 18:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"84",84,2019-07-10 18:30:00,"No",1600,1585,1137.5,669.1114341,2376.81,2355.595,1677.1325,669.1114341,1.08,NA,0
"85",85,2019-07-10 18:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"86",86,2019-07-10 18:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"87",87,2019-07-10 18:45:00,"No",1670,1660,1147.5,669.1114341,2483.14,2469.97,1692.3625,669.1114341,1.14,NA,0
"88",88,2019-07-10 18:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"89",89,2019-07-10 18:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"90",90,2019-07-10 19:00:00,"No",1720,1710,1212.5,661.7455276,2559.09,2546.22,1791.3575,661.7455276,1.11,NA,0
"91",91,2019-07-10 19:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"92",92,2019-07-10 19:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"93",93,2019-07-10 19:15:00,"No",1780,1775,1272.5,683.8432471,2650.23,2645.345,1882.7375,683.8432471,1.28,NA,0
"94",94,2019-07-10 19:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"95",95,2019-07-10 19:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"96",96,2019-07-10 19:30:00,"No",1835,1810,1317.5,691.2091536,2733.775,2698.72,1951.2725,691.2091536,1.33,NA,0
"97",97,2019-07-10 19:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"98",98,2019-07-10 19:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"99",99,2019-07-10 19:45:00,"No",1875,1870,1297.5,705.9409666,2794.535,2790.22,1920.8125,705.9409666,1.3,NA,0
"100",100,2019-07-10 19:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"101",101,2019-07-10 19:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"102",102,2019-07-10 20:00:00,"No",1925,1900,1367.5,691.2091536,2870.485,2835.97,2027.4225,691.2091536,1.41,NA,0
"103",103,2019-07-10 20:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"104",104,2019-07-10 20:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"105",105,2019-07-10 20:15:00,"No",1935,1925,1377.5,720.6727796,2885.675,2874.095,2042.6525,720.6727796,1.47,NA,0
"106",106,2019-07-10 20:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"107",107,2019-07-10 20:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"108",108,2019-07-10 20:30:00,"No",1985,1955,1417.5,742.7704991,2961.625,2919.845,2103.5725,742.7704991,1.43,NA,0
"109",109,2019-07-10 20:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"110",110,2019-07-10 20:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"111",111,2019-07-10 20:45:00,"No",2015,1990,1422.5,735.4045926,3007.195,2973.22,2111.1875,735.4045926,1.52,NA,0
"112",112,2019-07-10 20:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"113",113,2019-07-10 20:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"114",114,2019-07-10 21:00:00,"No",2040,2015,1397.5,735.4045926,3045.17,3011.345,2073.1125,735.4045926,1.5,NA,0
"115",115,2019-07-10 21:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"116",116,2019-07-10 21:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"117",117,2019-07-10 21:15:00,"No",2070,2045,1477.5,750.1364056,3090.74,3057.095,2194.9525,750.1364056,1.52,NA,0
"118",118,2019-07-10 21:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"119",119,2019-07-10 21:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"120",120,2019-07-10 21:30:00,"No",2100,2075,1497.5,742.7704991,3136.31,3102.845,2225.4125,742.7704991,1.6,NA,0
"121",121,2019-07-10 21:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"122",122,2019-07-10 21:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"123",123,2019-07-10 21:45:00,"No",2125,2090,1527.5,742.7704991,3174.285,3125.72,2271.1025,742.7704991,1.67,NA,0
"124",124,2019-07-10 21:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"125",125,2019-07-10 21:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"126",126,2019-07-10 22:00:00,"No",2145,2115,1522.5,750.1364056,3204.665,3163.845,2263.4875,750.1364056,1.64,NA,0
"127",127,2019-07-10 22:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"128",128,2019-07-10 22:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"129",129,2019-07-10 22:15:00,"No",2180,2125,1517.5,750.1364056,3257.83,3179.095,2255.8725,750.1364056,1.79,NA,0
"130",130,2019-07-10 22:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"131",131,2019-07-10 22:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"132",132,2019-07-10 22:30:00,"No",2190,2165,1517.5,757.5023121,3273.02,3240.095,2255.8725,757.5023121,1.72,NA,0
"133",133,2019-07-10 22:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"134",134,2019-07-10 22:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"135",135,2019-07-10 22:45:00,"No",2185,2190,1532.5,757.5023121,3265.425,3278.22,2278.7175,757.5023121,1.76,NA,0
"136",136,2019-07-10 22:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"137",137,2019-07-10 22:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"138",138,2019-07-10 23:00:00,"No",2230,2200,1582.5,764.8682186,3333.78,3293.47,2354.8675,764.8682186,1.78,NA,0
"139",139,2019-07-10 23:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"140",140,2019-07-10 23:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"141",141,2019-07-10 23:15:00,"No",2245,2220,1567.5,750.1364056,3356.565,3323.97,2332.0225,750.1364056,1.89,NA,0
"142",142,2019-07-10 23:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"143",143,2019-07-10 23:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"144",144,2019-07-10 23:30:00,"No",2255,2215,1602.5,764.8682186,3371.755,3316.345,2385.3275,764.8682186,1.97,NA,0
"145",145,2019-07-10 23:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"146",146,2019-07-10 23:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"147",147,2019-07-10 23:45:00,"No",2270,2250,1662.5,772.2341251,3394.54,3369.72,2476.7075,772.2341251,1.91,NA,0
"148",148,2019-07-10 23:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"149",149,2019-07-10 23:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"150",150,2019-07-11 00:00:00,"No",2290,2245,1637.5,772.2341251,3424.92,3362.095,2438.6325,772.2341251,1.87,NA,0
"151",151,2019-07-11 00:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"152",152,2019-07-11 00:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"153",153,2019-07-11 00:15:00,"No",2320,2265,1707.5,786.9659381,3470.49,3392.595,2545.2425,786.9659381,1.96,NA,0
"154",154,2019-07-11 00:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"155",155,2019-07-11 00:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"156",156,2019-07-11 00:30:00,"No",2330,2290,1652.5,779.6000316,3485.68,3430.72,2461.4775,779.6000316,2.09,NA,0
"157",157,2019-07-11 00:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"158",158,2019-07-11 00:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"159",159,2019-07-11 00:45:00,"No",2355,2300,1687.5,779.6000316,3523.655,3445.97,2514.7825,779.6000316,2.03,NA,0
"160",160,2019-07-11 00:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"161",161,2019-07-11 00:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"162",162,2019-07-11 01:00:00,"No",2380,2315,1732.5,816.4295641,3561.63,3468.845,2583.3175,816.4295641,2.11,NA,0
"163",163,2019-07-11 01:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"164",164,2019-07-11 01:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"165",165,2019-07-11 01:15:00,"No",2390,2355,1747.5,801.6977511,3576.82,3529.845,2606.1625,801.6977511,2.02,NA,0
"166",166,2019-07-11 01:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"167",167,2019-07-11 01:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"168",168,2019-07-11 01:30:00,"No",2410,2355,1782.5,786.9659381,3607.2,3529.845,2659.4675,786.9659381,2.08,NA,0
"169",169,2019-07-11 01:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"170",170,2019-07-11 01:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"171",171,2019-07-11 01:45:00,"No",2415,2360,1737.5,801.6977511,3614.795,3537.47,2590.9325,801.6977511,2.21,NA,0
"172",172,2019-07-11 01:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"173",173,2019-07-11 01:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"174",174,2019-07-11 02:00:00,"No",2410,2415,1787.5,809.0636576,3607.2,3621.345,2667.0825,809.0636576,2.18,NA,0
"175",175,2019-07-11 02:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"176",176,2019-07-11 02:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"177",177,2019-07-11 02:15:00,"No",2455,2395,1767.5,794.3318446,3675.555,3590.845,2636.6225,794.3318446,2.18,NA,0
"178",178,2019-07-11 02:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"179",179,2019-07-11 02:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"180",180,2019-07-11 02:30:00,"No",2445,2395,1762.5,794.3318446,3660.365,3590.845,2629.0075,794.3318446,2.28,NA,0
"181",181,2019-07-11 02:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"182",182,2019-07-11 02:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"183",183,2019-07-11 02:45:00,"No",2470,2450,1762.5,809.0636576,3698.34,3674.72,2629.0075,809.0636576,2.2,NA,0
"184",184,2019-07-11 02:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"185",185,2019-07-11 02:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"186",186,2019-07-11 03:00:00,"No",2485,2410,1817.5,816.4295641,3721.125,3613.72,2712.7725,816.4295641,2.27,NA,0
"187",187,2019-07-11 03:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"188",188,2019-07-11 03:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"189",189,2019-07-11 03:15:00,"No",2490,2430,1772.5,823.7954706,3728.72,3644.22,2644.2375,823.7954706,2.28,NA,0
"190",190,2019-07-11 03:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"191",191,2019-07-11 03:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"192",192,2019-07-11 03:30:00,"No",2495,2430,1792.5,801.6977511,3736.315,3644.22,2674.6975,801.6977511,2.21,NA,0
"193",193,2019-07-11 03:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"194",194,2019-07-11 03:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"195",195,2019-07-11 03:45:00,"No",2495,2435,1802.5,809.0636576,3736.315,3651.845,2689.9275,809.0636576,2.34,NA,0
"196",196,2019-07-11 03:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"197",197,2019-07-11 03:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"198",198,2019-07-11 04:00:00,"No",2510,2460,1847.5,816.4295641,3759.1,3689.97,2758.4625,816.4295641,2.49,NA,0
"199",199,2019-07-11 04:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"200",200,2019-07-11 04:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"201",201,2019-07-11 04:15:00,"No",2505,2475,1827.5,809.0636576,3751.505,3712.845,2728.0025,809.0636576,2.45,NA,0
"202",202,2019-07-11 04:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"203",203,2019-07-11 04:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"204",204,2019-07-11 04:30:00,"No",2520,2485,1832.5,838.5272836,3774.29,3728.095,2735.6175,838.5272836,2.39,NA,0
"205",205,2019-07-11 04:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"206",206,2019-07-11 04:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"207",207,2019-07-11 04:45:00,"No",2535,2510,1887.5,816.4295641,3797.075,3766.22,2819.3825,816.4295641,2.49,NA,0
"208",208,2019-07-11 04:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"209",209,2019-07-11 04:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"210",210,2019-07-11 05:00:00,"No",2545,2480,1877.5,816.4295641,3812.265,3720.47,2804.1525,816.4295641,2.45,NA,0
"211",211,2019-07-11 05:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"212",212,2019-07-11 05:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"213",213,2019-07-11 05:15:00,"No",2540,2500,1852.5,816.4295641,3804.67,3750.97,2766.0775,816.4295641,2.44,NA,0
"214",214,2019-07-11 05:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"215",215,2019-07-11 05:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"216",216,2019-07-11 05:30:00,"No",2545,2500,1862.5,823.7954706,3812.265,3750.97,2781.3075,823.7954706,2.39,NA,0
"217",217,2019-07-11 05:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"218",218,2019-07-11 05:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"219",219,2019-07-11 05:45:00,"No",2550,2510,1852.5,831.1613771,3819.86,3766.22,2766.0775,831.1613771,2.44,NA,0
"220",220,2019-07-11 05:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"221",221,2019-07-11 05:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"222",222,2019-07-11 06:00:00,"No",2545,2510,1837.5,831.1613771,3812.265,3766.22,2743.2325,831.1613771,2.47,NA,0
"223",223,2019-07-11 06:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"224",224,2019-07-11 06:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"225",225,2019-07-11 06:15:00,"No",2560,2515,1907.5,823.7954706,3835.05,3773.845,2849.8425,823.7954706,2.56,NA,0
"226",226,2019-07-11 06:20:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"227",227,2019-07-11 06:25:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"228",228,2019-07-11 06:30:00,"No",2545,2525,1852.5,823.7954706,3812.265,3789.095,2766.0775,823.7954706,2.5,NA,0
"229",229,2019-07-11 06:35:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"230",230,2019-07-11 06:40:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"231",231,2019-07-11 06:45:00,"No",2560,2510,1912.5,838.5272836,3835.05,3766.22,2857.4575,838.5272836,2.46,NA,0
"232",232,2019-07-11 06:50:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"233",233,2019-07-11 06:55:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"234",234,2019-07-11 07:00:00,"No",2555,2485,1847.5,816.4295641,3827.455,3728.095,2758.4625,816.4295641,2.52,NA,0
"235",235,2019-07-11 07:05:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"236",236,2019-07-11 07:10:00,"No",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0
"237",237,2019-07-11 07:15:00,"No",2515,2465,1877.5,794.3318446,3766.695,3697.595,2804.1525,794.3318446,2.53,NA,0
