Syn7-18,Eos#,Date,Flux,Distance From 35,,Syn7-25,Eos#,Date,Flux,Distance From 35,,Syn7-31,Eos#,Date,Flux,Distance From 35,,Syn8-6,Eos#,,Date,Flux,Distance From 35,,Syn8-12,Eos#,,Date,Flux,Distance From 35
1,2,2019-07-18 11:05:00,0.61,245.2,,1,1,2019-07-25 12:20:00,0.88,245.2,,1,2,2019-07-31 11:30:00,0.44,245.2,,1,1,546,2019-08-06 12:10:00,0.66,245.2,,1,2,3716,2019-08-12 11:20:00,0.96,245.2
1,2,2019-07-18 11:15:00,0.57,245.2,,1,1,2019-07-25 12:25:00,0.81,245.2,,1,2,2019-07-31 11:35:00,0.35,245.2,,1,1,547,2019-08-06 12:15:00,0.76,245.2,,1,2,3717,2019-08-12 11:25:00,1.07,245.2
1,2,2019-07-18 11:20:00,0.66,245.2,,1,1,2019-07-25 12:30:00,0.88,245.2,,1,2,2019-07-31 11:40:00,0.27,245.2,,1,1,548,2019-08-06 12:20:00,0.89,245.2,,1,2,3718,2019-08-12 11:30:00,0.95,245.2
1,2,2019-07-18 11:25:00,0.57,245.2,,1,1,2019-07-25 12:35:00,0.65,245.2,,1,2,2019-07-31 11:45:00,0.23,245.2,,1,1,549,2019-08-06 12:25:00,0.35,245.2,,1,2,3719,2019-08-12 11:35:00,0.45,245.2
5,2,2019-07-18 11:40:00,0.43,217.6,,5,1,2019-07-25 12:50:00,0.36,217.6,,5,2,2019-07-31 12:00:00,0.62,217.6,,5,1,551,2019-08-06 12:35:00,0.41,217.6,,5,2,3721,2019-08-12 11:45:00,2.23,217.6
5,2,2019-07-18 11:45:00,0.36,217.6,,5,1,2019-07-25 12:55:00,0.47,217.6,,5,2,2019-07-31 12:05:00,0.7,217.6,,5,1,552,2019-08-06 12:40:00,0.57,217.6,,5,2,3722,2019-08-12 11:50:00,2.29,217.6
5,2,2019-07-18 11:50:00,0.31,217.6,,5,1,2019-07-25 13:00:00,0.51,217.6,,5,2,2019-07-31 12:10:00,0.66,217.6,,5,1,553,2019-08-06 12:45:00,0.61,217.6,,5,2,3723,2019-08-12 11:55:00,2.38,217.6
5,2,2019-07-18 11:55:00,0.34,217.6,,5,1,2019-07-25 13:05:00,0.55,217.6,,5,2,2019-07-31 12:15:00,0.63,217.6,,5,1,554,2019-08-06 12:50:00,0.18,217.6,,5,2,3724,2019-08-12 12:00:00,1.56,217.6
8,2,2019-07-18 12:10:00,0.64,194.9,,10,1,2019-07-25 13:45:00,0.42,178.7,,8,2,2019-07-31 12:25:00,0.8,194.9,,8,1,556,2019-08-06 13:00:00,0.79,194.9,,8,2,3726,2019-08-12 12:10:00,0.57,194.9
8,2,2019-07-18 12:15:00,0.64,194.9,,10,1,2019-07-25 13:50:00,1.08,178.7,,8,2,2019-07-31 12:30:00,0.74,194.9,,8,1,557,2019-08-06 13:05:00,0.92,194.9,,8,2,3727,2019-08-12 12:15:00,0.28,194.9
8,2,2019-07-18 12:20:00,-0.04,194.9,*,10,1,2019-07-25 13:55:00,0.88,178.7,,8,2,2019-07-31 12:35:00,0.9,194.9,,8,1,558,2019-08-06 13:10:00,0.89,194.9,,8,2,3728,2019-08-12 12:20:00,0.23,194.9
8,2,2019-07-18 12:25:00,0.58,194.9,,10,1,2019-07-25 14:00:00,-0.43,178.7,,8,2,2019-07-31 12:40:00,0.81,194.9,,8,1,559,2019-08-06 13:15:00,0.36,194.9,,8,2,3729,2019-08-12 12:25:00,0.73,194.9
11,2,2019-07-18 12:40:00,0.97,169.9,,14,1,2019-07-25 14:25:00,0.47,143.7,,11,2,2019-07-31 12:50:00,0.35,169.9,,11,1,561,2019-08-06 13:25:00,0.97,169.9,,11,2,3732,2019-08-12 12:40:00,1.85,169.9
11,2,2019-07-18 12:45:00,0.95,169.9,,14,1,2019-07-25 14:30:00,0.34,143.7,,11,2,2019-07-31 12:55:00,0.21,169.9,,11,1,562,2019-08-06 13:30:00,0.87,169.9,,11,2,3733,2019-08-12 12:45:00,1.87,169.9
11,2,2019-07-18 12:50:00,0.88,169.9,,14,1,2019-07-25 14:35:00,0.28,143.7,,11,2,2019-07-31 13:00:00,0.22,169.9,,11,1,563,2019-08-06 13:35:00,0.91,169.9,,11,2,3734,2019-08-12 12:50:00,1.91,169.9
11,2,2019-07-18 12:55:00,0.92,169.9,,14,1,2019-07-25 14:40:00,0.19,143.7,,11,2,2019-07-31 13:05:00,0.28,169.9,,11,1,564,2019-08-06 13:40:00,0.59,169.9,,11,2,3735,2019-08-12 12:55:00,1.39,169.9
14,2,2019-07-18 13:20:00,0.1,143.7,,waterfall,2,2019-07-25 12:10:00,2.2,126,,14,2,2019-07-31 13:25:00,0.17,143.7,,14,1,567,2019-08-06 13:55:00,0.05,143.7,,14,2,3739,2019-08-12 13:15:00,0.34,143.7
14,2,2019-07-18 13:25:00,0.18,143.7,,waterfall,2,2019-07-25 12:15:00,2.31,126,,14,2,2019-07-31 13:30:00,0.11,143.7,,14,1,568,2019-08-06 14:00:00,0.05,143.7,,14,2,3740,2019-08-12 13:20:00,0.41,143.7
14,2,2019-07-18 13:30:00,0.16,143.7,,waterfall,2,2019-07-25 12:20:00,2.06,126,,14,2,2019-07-31 13:35:00,0.21,143.7,,14,1,569,2019-08-06 14:05:00,0.06,143.7,,14,2,3741,2019-08-12 13:25:00,0.42,143.7
